Artist,Artist_id,Song,Song_id
Alina Baraz,6hfwwpXqZPRC9CsKI7qtv1,Electric (feat. Khalid),2mj7x99sNUsVHPBRK51zlG
Alina Baraz,6hfwwpXqZPRC9CsKI7qtv1,Floating (feat. Khalid),2vLWF4yFhTHQZVwrPTjH1s
Alina Baraz,6hfwwpXqZPRC9CsKI7qtv1,Fantasy,17YuXw2ScwLLL1sUrRKhoW
Alina Baraz,6hfwwpXqZPRC9CsKI7qtv1,Make You Feel,5zouq58uwciUTe0rhrwKmc
Alina Baraz,6hfwwpXqZPRC9CsKI7qtv1,Feels Right,2Un4sGOznAimdjxFaMPIrl
Alina Baraz,6hfwwpXqZPRC9CsKI7qtv1,Lavender and Velvet,57nReJa69S1lEJGYHLCKlx
Alina Baraz,6hfwwpXqZPRC9CsKI7qtv1,Unfold,1cSpPl4FhWtft5fUTqRr8f
Alina Baraz,6hfwwpXqZPRC9CsKI7qtv1,Pretty Thoughts,7DT8GwyRKluJhnl0BEOUA2
Alina Baraz,6hfwwpXqZPRC9CsKI7qtv1,Show Me,5DWlblna0iBMpTvo5cXzdK
Alina Baraz,6hfwwpXqZPRC9CsKI7qtv1,I Don't Even Know Why Though,3H2OWez1soN1GT4me4j53A
